username,tweetcreatedts,text
Aconite_vt,2022-07-30 23:55:30,"RT @Fadil_Original: Hey para gamers!

Bantu kami untuk mentrendingkan kembali #BlokirKominfo #ProtesNetizen &amp; #PSEmelanggarHAM !

Sekalian…"
ekprasetiyo,2022-07-30 23:55:28,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
apaansiiibg,2022-07-30 23:55:24,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
yourcheewy,2022-07-30 23:55:23,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
Jaring_UburUbur,2022-07-30 23:55:18,"RT @InginGondrong: Steam, Epic games masih understandable, tolol, tapi undestandable.

Paypal diblokir, boomer moment urusin dulu projek we…"
Awibowo__,2022-07-30 23:55:17,RT @cybsquad_: situs slot judi gak diblokir karena udah daftar ke kominfo. Wwkwkwkw #BlokirKominfo https://t.co/ySc9Y8wMGS
1diyda,2022-07-30 23:55:17,"RT @NdrewsTjan: Masalah Steam dan @kemkominfo ini itu sengaja dibuat rame krna masalah ini kali ya. 

Mau menutupi Hasil Autopsi Brigadir J…"
paraNEWnormal,2022-07-30 23:55:17,Udah 24 jam blm bsa dibuka #BlokirKominfo https://t.co/Riu58HDgH4
Reyza19914,2022-07-30 23:55:16,"ketika negara memaksakan kebijakan aneh  terhadap rakyatnya, apakah itu namanya sebuah keadilan??

#BlokirKominfo jilbab #Bebaskan5WargaDIY 
Paypal"
mirazh_me,2022-07-30 23:55:15,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
ekprasetiyo,2022-07-30 23:55:14,"RT @s4ng_pn4kLuk_id: SBY dan AHY Hadiri Resepsi Pernikahan Putri Anies Baswedan
#BlokirKominfo
https://t.co/jQke8n4NTx

Lanjutan Video Hany…"
RaraGantariN,2022-07-30 23:55:13,"RT @Apin180: ngeblokir egs, steam, paypal
tapi katanya mendukung karya anak bangsa
tapi karya anak bangsa yg dibayar via paypal jadinya dit…"
Iseng57185173,2022-07-30 23:55:13,"RT @ekowboy2: Ini akibat kardus digembok..

Akhirnya Jokowi diserang pendukungnya sendiri dari buzzer receh sampe Influencer papan atas, ki…"
nanaa_zaa,2022-07-30 23:55:10,"RT @SportsTime_id: Semoga Kominfo Mendengar ini ya😏

#BlokirKominfo GitHub Paytren Pake VPN Paypal Ardhito Johnny G. Plate Gmail Google Dri…"
johjije,2022-07-30 23:55:06,"RT @FerdiRizky7: Bayangin udh beli game kena pajak masih aja di blokir,ini kominfo secara tidak langsung nyuruh kita ngebajak game #BlokirK…"
erikseptiawan,2022-07-30 23:55:04,"RT @NdrewsTjan: Masalah Steam dan @kemkominfo ini itu sengaja dibuat rame krna masalah ini kali ya. 

Mau menutupi Hasil Autopsi Brigadir J…"
singbosing,2022-07-30 23:55:04,"RT @Apin180: ngeblokir egs, steam, paypal
tapi katanya mendukung karya anak bangsa
tapi karya anak bangsa yg dibayar via paypal jadinya dit…"
yrr0_,2022-07-30 23:55:02,Menuju Indo komunis 😬 #BlokirKominfo
fitdhan,2022-07-30 23:55:00,"RT @madisnur: Mungkin kita masih inget kelakuan @kemkominfo pada 2019, dia asal aja blokir2 Internet di Papua. Bener2 merugikan Rakyat dan…"
khoceng_gurun,2022-07-30 23:54:59,"RT @madisnur: Mungkin kita masih inget kelakuan @kemkominfo pada 2019, dia asal aja blokir2 Internet di Papua. Bener2 merugikan Rakyat dan…"
kuchengliar,2022-07-30 23:54:54,"RT @NdrewsTjan: Masalah Steam dan @kemkominfo ini itu sengaja dibuat rame krna masalah ini kali ya. 

Mau menutupi Hasil Autopsi Brigadir J…"
jonathantanu_99,2022-07-30 23:54:54,"Kominfo logic: Blok menyelesaikan masalah. Liat aja buktinya orang pada pake vpn/dns, malah orang awam yang gatau begituan jadi pada pake. Malah sekarang orang bisa akses semua website, blokir kominfo jadi ga guna lagi deh #BlokirKominfo"
Garaa30,2022-07-30 23:54:51,RT @Fiar098: Layanan internet harusnya gaboleh dipegang sama kominfo lagi selama yang masih duduk disana para boomer tolol asal blok gajela…
rdh_hkr,2022-07-30 23:54:44,@ihsanasarasvati Bisa aja sih 2024 tapi setelah presiden baru dilantik dan menteri2nya diganti semua #BlokirKominfo
shio_kaze7,2022-07-30 23:54:43,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
SunEater7199,2022-07-30 23:54:43,Otw jadi the next Korea utara gk sih? #BlokirKominfo
indrawij79,2022-07-30 23:54:42,"RT @Ghis_Geralt: Buat cara lain bisa pake cara ini

setting di chrome bisa ke 
Setting &gt; Privacy Security &gt; Security &gt; Pilih Use Secure DNS…"
maudiil,2022-07-30 23:54:42,RT @secgron: Beli game di Steam udah dipajakin sama negara ini sejak 2 tahun lalu. Sekarang mau mainin game yang udah dibeli dan dipajakin…
Garaa30,2022-07-30 23:54:39,"RT @SportsTime_id: Semoga Kominfo Mendengar ini ya😏

#BlokirKominfo GitHub Paytren Pake VPN Paypal Ardhito Johnny G. Plate Gmail Google Dri…"
planismine,2022-07-30 23:54:37,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
lapaknyaiza,2022-07-30 23:54:36,"RT @miissufewin: Buat yang ketinya item bisa nih dicoba🤧

https://t.co/1Q6kSrxMuy

PayPal Malam 1 Coki Muhammad #PresidenTukangNgibul Siwon…"
mynalley_,2022-07-30 23:54:34,"RT @Apin180: ngeblokir egs, steam, paypal
tapi katanya mendukung karya anak bangsa
tapi karya anak bangsa yg dibayar via paypal jadinya dit…"
ryanchoa53,2022-07-30 23:54:25,"RT @NdrewsTjan: Masalah Steam dan @kemkominfo ini itu sengaja dibuat rame krna masalah ini kali ya. 

Mau menutupi Hasil Autopsi Brigadir J…"
hantu_baik0,2022-07-30 23:54:25,"@viased_ @kemkominfo Karena judi selot udah daftar PSE, silahkan menikmati judi di hari minggu kak 👍
#BlokirKominfo"
orblinkzenit,2022-07-30 23:54:22,RT @Fiar098: Layanan internet harusnya gaboleh dipegang sama kominfo lagi selama yang masih duduk disana para boomer tolol asal blok gajela…
Garaa30,2022-07-30 23:54:21,"RT @LBH_Jakarta: LBH Jakarta mengajak kepada seluruh konten kreator, digital developer dan berbagai pihak yang dirugikan akibat Permenkomin…"
Yoga5631,2022-07-30 23:54:21,"RT @nakamarising: Pasal karet, gak ngerti industri 4.0, main blokir website yang udah jelas legal dan faedah

Nih 847 akun Judi yang spam s…"
mooerbey,2022-07-30 23:54:21,"RT @MstrYoda: Kpd yg tidak terhormat @kemkominfo ,
Mengapa kalian begitu tidak bijak dalam melakukan sesuatu? Kalian sangat merugikan masya…"
ILhamSmsLarfN,2022-07-30 23:54:05,"RT @Apin180: ngeblokir egs, steam, paypal
tapi katanya mendukung karya anak bangsa
tapi karya anak bangsa yg dibayar via paypal jadinya dit…"
ShineCr,2022-07-30 23:54:05,"RT @NdrewsTjan: Masalah Steam dan @kemkominfo ini itu sengaja dibuat rame krna masalah ini kali ya. 

Mau menutupi Hasil Autopsi Brigadir J…"
